Sector,Region,Total_Loss,Total_Wind_Loss,Total_Fluvial_Loss,Total_Coastal_Loss,Total_Exposed_Value,Total_Value,Number_Exposed_Buildings,Number_Damaged_Buildings,Total_Number_Buildings,Building_Loss,Total_Exposed_Building_Value,Total_Building_Value,By_Loss.range_<_1.Number,By_Loss.range_<_1.Total_Loss,By_Loss.range_1_100.Number,By_Loss.range_1_100.Total_Loss,By_Loss.range_100_1000.Number,By_Loss.range_100_1000.Total_Loss,By_Loss.range_1000_10000.Number,By_Loss.range_1000_10000.Total_Loss,By_Loss.range_10000_100000.Number,By_Loss.range_10000_100000.Total_Loss,By_Loss.range_100000_+.Number,By_Loss.range_100000_+.Total_Loss
Education,Aitutaki,0,0,0,0,397955,404234,5,0,6,0,397955,404234,6,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Aitutaki,1322640,2525,0,1320115,27922980,41216607,9,5,15,1203,118780,289953,10557,0,22,1251,17,4355,16,74912,50,1242122,0,0
Other,Aitutaki,83327,83327,0,0,1551012,3916123,88,59,201,83327,1551012,3916123,142,0,28,804,18,5680,11,52194,2,24649,0,0
Productive,Aitutaki,28276,26239,0,2037,9348113,13784732,208,161,308,26239,8829664,13056758,1088,4,134,4089,20,7778,6,16405,0,0,0,0
Public,Aitutaki,3081,3081,0,0,5059130,11972298,52,32,139,3081,5059130,11972298,111,2,21,692,7,2387,0,0,0,0,0,0
Residential,Aitutaki,296455,295996,0,459,38635445,92067724,928,488,2100,296455,38635445,92067724,1651,16,291,7119,110,39988,41,135656,7,113675,0,0
Unknown,Aitutaki,376845,367263,0,9582,6229973,11377724,396,212,795,376845,6229973,11377724,583,0,11,589,104,50793,92,261812,5,63651,0,0
Infrastructure,Atiu,29506,0,0,29506,1392307,4461149,0,0,7,0,0,171185,5257,0,9,344,4,1589,8,27573,0,0,0,0
Other,Atiu,0,0,0,0,0,845389,0,0,38,0,0,845389,38,0,0,0,0,0,0,0,0,0,0,0
Productive,Atiu,1831,0,0,1831,411143,2692407,1,0,28,0,347083,1672215,948,0,4,115,3,1716,0,0,0,0,0,0
Public,Atiu,0,0,0,0,0,818269,0,0,18,0,0,818269,18,0,0,0,0,0,0,0,0,0,0,0
Residential,Atiu,0,0,0,0,199456,30701545,4,0,598,0,199456,30701545,598,0,0,0,0,0,0,0,0,0,0,0
Unknown,Atiu,0,0,0,0,319829,2534212,10,0,89,0,319829,2534212,89,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Mangaia,4277,1777,0,2500,6932059,6932059,1,1,1,675,68837,68837,8881,0,7,464,3,876,2,2937,0,0,0,0
Other,Mangaia,49970,49970,0,0,1183725,1183725,26,26,26,49970,1183725,1183725,0,0,10,512,9,4099,6,20619,1,24739,0,0
Productive,Mangaia,148390,145698,0,2692,6895768,6895768,24,24,24,145698,2676173,2676173,2598,0,12,294,9,3454,6,15164,0,0,1,129478
Public,Mangaia,25671,25671,0,0,962346,962346,18,18,18,25671,962346,962346,0,0,3,83,11,3580,4,22008,0,0,0,0
Residential,Mangaia,675402,675402,0,0,24908407,24908407,351,351,351,675402,24908407,24908407,1,1,132,4195,114,45167,84,244169,20,381871,0,0
Unknown,Mangaia,3250771,3250771,0,0,17125662,17125662,332,332,332,3250771,17125662,17125662,0,0,6,357,67,31308,174,725859,85,2493247,0,0
Infrastructure,Manihiki,0,0,0,0,0,2765593,0,0,0,0,0,0,1540,0,0,0,0,0,0,0,0,0,0,0
Other,Manihiki,0,0,0,0,0,345106,0,0,7,0,0,345106,7,0,0,0,0,0,0,0,0,0,0,0
Productive,Manihiki,0,0,0,0,0,238213,0,0,4,0,0,32865,363,0,0,0,0,0,0,0,0,0,0,0
Public,Manihiki,0,0,0,0,0,31479,0,0,1,0,0,31479,1,0,0,0,0,0,0,0,0,0,0,0
Residential,Manihiki,0,0,0,0,0,1543359,0,0,61,0,0,1543359,61,0,0,0,0,0,0,0,0,0,0,0
Unknown,Manihiki,0,0,0,0,0,19851393,0,0,550,0,0,19851393,550,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Mauke,0,0,0,0,0,4119166,0,0,4,0,0,199359,4134,0,0,0,0,0,0,0,0,0,0,0
Other,Mauke,0,0,0,0,0,775836,0,0,44,0,0,775836,44,0,0,0,0,0,0,0,0,0,0,0
Productive,Mauke,0,0,0,0,0,981575,0,0,17,0,0,600738,587,0,0,0,0,0,0,0,0,0,0,0
Public,Mauke,0,0,0,0,0,300278,0,0,8,0,0,300278,8,0,0,0,0,0,0,0,0,0,0,0
Residential,Mauke,0,0,0,0,0,12888527,0,0,290,0,0,12888527,290,0,0,0,0,0,0,0,0,0,0,0
Unknown,Mauke,0,0,0,0,0,3407993,0,0,100,0,0,3407993,100,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Mitiaro,0,0,0,0,0,2994454,0,0,1,0,0,7961,3921,0,0,0,0,0,0,0,0,0,0,0
Other,Mitiaro,0,0,0,0,0,738931,0,0,35,0,0,738931,35,0,0,0,0,0,0,0,0,0,0,0
Productive,Mitiaro,0,0,0,0,0,452285,0,0,8,0,0,235508,298,0,0,0,0,0,0,0,0,0,0,0
Public,Mitiaro,0,0,0,0,0,2822,0,0,1,0,0,2822,1,0,0,0,0,0,0,0,0,0,0,0
Residential,Mitiaro,0,0,0,0,0,6546294,0,0,212,0,0,6546294,212,0,0,0,0,0,0,0,0,0,0,0
Unknown,Mitiaro,0,0,0,0,0,3457189,0,0,136,0,0,3457189,136,0,0,0,0,0,0,0,0,0,0,0
Productive,Motu Tou,0,0,0,0,0,14872,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0
Unknown,Motu Tou,0,0,0,0,0,107517,0,0,3,0,0,107517,3,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Nassau,0,0,0,0,0,485436,0,0,0,0,0,0,1259,0,0,0,0,0,0,0,0,0,0,0
Public,Nassau,0,0,0,0,0,17045,0,0,1,0,0,17045,1,0,0,0,0,0,0,0,0,0,0,0
Residential,Nassau,0,0,0,0,0,604340,0,0,32,0,0,604340,32,0,0,0,0,0,0,0,0,0,0,0
Unknown,Nassau,0,0,0,0,0,1780005,0,0,117,0,0,1780005,117,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Palmerston,0,0,0,0,0,11181,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Productive,Palmerston,572,0,0,572,572,82940,0,0,0,0,0,0,144,0,0,0,1,572,0,0,0,0,0,0
Residential,Palmerston,0,0,0,0,0,330609,0,0,5,0,0,330609,5,0,0,0,0,0,0,0,0,0,0,0
Unknown,Palmerston,0,0,0,0,0,3428761,0,0,30,0,0,3428761,30,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Penrhyn,0,0,0,0,0,3377005,0,0,0,0,0,0,913,0,0,0,0,0,0,0,0,0,0,0
Other,Penrhyn,0,0,0,0,0,67976,0,0,3,0,0,67976,3,0,0,0,0,0,0,0,0,0,0,0
Productive,Penrhyn,0,0,0,0,0,114187,0,0,2,0,0,114187,2,0,0,0,0,0,0,0,0,0,0,0
Residential,Penrhyn,0,0,0,0,0,720532,0,0,22,0,0,720532,22,0,0,0,0,0,0,0,0,0,0,0
Unknown,Penrhyn,0,0,0,0,0,17178723,0,0,342,0,0,17178723,342,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Pukapuka,0,0,0,0,0,2850100,0,0,2,0,0,404007,2113,0,0,0,0,0,0,0,0,0,0,0
Other,Pukapuka,0,0,0,0,0,966192,0,0,63,0,0,966192,63,0,0,0,0,0,0,0,0,0,0,0
Productive,Pukapuka,0,0,0,0,0,723043,0,0,20,0,0,558879,307,0,0,0,0,0,0,0,0,0,0,0
Public,Pukapuka,0,0,0,0,0,386888,0,0,16,0,0,386888,16,0,0,0,0,0,0,0,0,0,0,0
Residential,Pukapuka,0,0,0,0,0,8449318,0,0,281,0,0,8449318,281,0,0,0,0,0,0,0,0,0,0,0
Unknown,Pukapuka,0,0,0,0,0,1014464,0,0,103,0,0,1014464,103,0,0,0,0,0,0,0,0,0,0,0
Infrastructure,Rakahanga,0,0,0,0,0,499656,0,0,0,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0
Productive,Rakahanga,0,0,0,0,0,161304,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0
Unknown,Rakahanga,0,0,0,0,0,7669263,0,0,161,0,0,7669263,161,0,0,0,0,0,0,0,0,0,0,0
Education,Rarotonga,250298,250298,0,0,17495649,17495649,50,50,50,250298,17495649,17495649,0,0,15,533,12,4982,15,52087,8,192696,0,0
Infrastructure,Rarotonga,587381,159949,0,427432,125150786,125150786,11,11,11,48988,1337975,1337975,25147,0,51,2667,49,20887,36,164053,26,399774,0,0
Other,Rarotonga,4057742,4056315,0,1427,70567653,70567653,1186,1186,1186,4057742,70567653,70567653,0,0,294,11153,383,154503,402,1425138,106,2362194,1,104754
Productive,Rarotonga,4252883,4193170,0,59713,163208343,163208343,1134,1134,1134,4252297,161192105,161192105,1460,0,416,12502,286,118502,333,1103287,97,2496559,3,522031
Public,Rarotonga,957732,945351,0,12381,80395608,80395608,325,325,325,957732,80395608,80395608,2,2,143,4906,91,37927,72,243259,15,256956,2,414684
Residential,Rarotonga,21614952,21588298,0,26654,714578306,714578306,6720,6720,6720,21614952,714578306,714578306,17,13,2567,85731,1686,683033,1891,6754194,556,13559336,3,532646
Unknown,Rarotonga,7254852,7205774,0,49078,53828562,53828562,1344,1344,1344,7254852,53828562,53828562,0,0,78,4026,525,265274,564,2006631,173,4335613,4,643307
