Region,Return_Period,Duration,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0.5.Exposed_Buildings,Depth.range_<_0.5.Exposed_Population,Depth.range_<_0.5.Exposed_Evacuation_Centres,Depth.range_<_0.5.Exposed_Health_Facilties,Depth.range_<_0.5.Exposed_Schools,Depth.range_<_0.5.Exposed_Road_km,Depth.range_<_0.5.Exposed_Building_Value,Depth.range_<_0.5.Exposed_Road_Value,Depth.range_<_0.5.Exposed_Crop_Value,Depth.range_<_0.5.Exposed_Infrastructure_Value,Depth.range_<_0.5.Total_Exposed_Value,Depth.range_<_0.5.Building_Loss,Depth.range_<_0.5.Road_Loss,Depth.range_<_0.5.Crop_Loss,Depth.range_<_0.5.Infrastructure_Loss,Depth.range_<_0.5.Total_Loss,Depth.range_0.5_1.0.Exposed_Buildings,Depth.range_0.5_1.0.Exposed_Population,Depth.range_0.5_1.0.Exposed_Evacuation_Centres,Depth.range_0.5_1.0.Exposed_Health_Facilties,Depth.range_0.5_1.0.Exposed_Schools,Depth.range_0.5_1.0.Exposed_Road_km,Depth.range_0.5_1.0.Exposed_Building_Value,Depth.range_0.5_1.0.Exposed_Road_Value,Depth.range_0.5_1.0.Exposed_Crop_Value,Depth.range_0.5_1.0.Exposed_Infrastructure_Value,Depth.range_0.5_1.0.Total_Exposed_Value,Depth.range_0.5_1.0.Building_Loss,Depth.range_0.5_1.0.Road_Loss,Depth.range_0.5_1.0.Crop_Loss,Depth.range_0.5_1.0.Infrastructure_Loss,Depth.range_0.5_1.0.Total_Loss,Depth.range_1.0_1.5.Exposed_Buildings,Depth.range_1.0_1.5.Exposed_Population,Depth.range_1.0_1.5.Exposed_Evacuation_Centres,Depth.range_1.0_1.5.Exposed_Health_Facilties,Depth.range_1.0_1.5.Exposed_Schools,Depth.range_1.0_1.5.Exposed_Road_km,Depth.range_1.0_1.5.Exposed_Building_Value,Depth.range_1.0_1.5.Exposed_Road_Value,Depth.range_1.0_1.5.Exposed_Crop_Value,Depth.range_1.0_1.5.Exposed_Infrastructure_Value,Depth.range_1.0_1.5.Total_Exposed_Value,Depth.range_1.0_1.5.Building_Loss,Depth.range_1.0_1.5.Road_Loss,Depth.range_1.0_1.5.Crop_Loss,Depth.range_1.0_1.5.Infrastructure_Loss,Depth.range_1.0_1.5.Total_Loss,Depth.range_1.5_2.0.Exposed_Buildings,Depth.range_1.5_2.0.Exposed_Population,Depth.range_1.5_2.0.Exposed_Evacuation_Centres,Depth.range_1.5_2.0.Exposed_Health_Facilties,Depth.range_1.5_2.0.Exposed_Schools,Depth.range_1.5_2.0.Exposed_Road_km,Depth.range_1.5_2.0.Exposed_Building_Value,Depth.range_1.5_2.0.Exposed_Road_Value,Depth.range_1.5_2.0.Exposed_Crop_Value,Depth.range_1.5_2.0.Exposed_Infrastructure_Value,Depth.range_1.5_2.0.Total_Exposed_Value,Depth.range_1.5_2.0.Building_Loss,Depth.range_1.5_2.0.Road_Loss,Depth.range_1.5_2.0.Crop_Loss,Depth.range_1.5_2.0.Infrastructure_Loss,Depth.range_1.5_2.0.Total_Loss,Depth.range_2.0_+.Exposed_Buildings,Depth.range_2.0_+.Exposed_Population,Depth.range_2.0_+.Exposed_Evacuation_Centres,Depth.range_2.0_+.Exposed_Health_Facilties,Depth.range_2.0_+.Exposed_Schools,Depth.range_2.0_+.Exposed_Road_km,Depth.range_2.0_+.Exposed_Building_Value,Depth.range_2.0_+.Exposed_Road_Value,Depth.range_2.0_+.Exposed_Crop_Value,Depth.range_2.0_+.Exposed_Infrastructure_Value,Depth.range_2.0_+.Total_Exposed_Value,Depth.range_2.0_+.Building_Loss,Depth.range_2.0_+.Road_Loss,Depth.range_2.0_+.Crop_Loss,Depth.range_2.0_+.Infrastructure_Loss,Depth.range_2.0_+.Total_Loss
A'ana,10,12,5496,1964,3058,2438,1471820,899774,572046,281940324,39226,2532,180.26,1617570,28332670,4070594,43462955,12,266166,1617822,0,0,36,355353771,7426150,4152,24130,0,6,34,160.41,202491863,25797463,1420484,43025500,272735310,51260,1299366,138142,3897510,5386278,1102,8420,0,0,2,16.93,69405334,2305620,166042,0,71876997,767936,255228,96728,0,1119892,178,3736,0,0,0,2.17,7243015,179442,20864,437455,7880776,280048,46942,20864,173084,520938,42,2270,0,0,0,0.62,1857942,45342,10432,0,1913717,166874,14382,10432,0,191688,22,670,0,0,0,0.12,942170,4801,0,0,946971,205702,1652,0,0,207354
A'ana,50,12,6236,2308,3424,2812,1847210,1140950,706260,310999848,40470,2606,205.35,1982872,32729475,4617154,43462955,12,338722,1946426,0,0,42,389138704,8785958,4622,24142,0,6,38,180.42,217876662,29243262,1707360,43025500,291852784,58724,1559472,180854,4435008,6234058,1306,8922,0,0,4,21.48,80294454,3209572,207770,0,83711797,932410,345940,126572,0,1404922,236,3930,0,0,0,2.39,9817684,197386,20864,367455,10403389,385780,52084,20864,151308,610036,44,2438,0,0,0,0.76,1850546,54449,10432,70000,1985427,177808,16838,10432,30838,235916,28,1038,0,0,0,0.3,1160502,24805,0,0,1185307,292488,8538,0,0,301026
A'ana,100,12,6454,2492,3542,2912,2029744,1255174,774570,320391578,40694,2622,215.95,2145908,34886088,4806246,43462955,12,370984,2069870,0,0,48,400810491,9352882,4674,23946,0,6,44,188.06,220449510,31105548,1789076,43025500,296369634,60744,1673894,186808,4620720,6542166,1440,9032,0,0,4,24.28,85890062,3496393,239066,0,89625521,1014408,391250,142448,0,1548106,264,4126,0,0,0,2.43,10788271,192166,31296,367455,11379188,428612,51164,31296,154090,665162,42,2456,0,0,0,0.86,1975513,65271,10432,70000,2121215,185172,20248,10432,31436,247288,34,1134,0,0,0,0.32,1288222,26710,0,0,1314932,340808,9352,0,0,350160
Aiga-i-le-Tai,10,12,1610,784,908,702,398566,235954,162612,70460821,8690,538,24.06,453568,4412335,30050,314400,4,17060,222548,0,0,18,75410104,899244,1032,4114,0,0,10,19.9,45384445,3637077,212116,314400,49548037,25946,308072,11406,30050,375474,528,2304,0,0,8,4.07,22239317,728736,10432,0,22978486,275518,134012,5654,0,415184,50,1856,0,0,0,0.08,2837059,46522,0,0,2883581,97102,11484,0,0,108586,0,256,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Aiga-i-le-Tai,50,12,1754,878,970,784,475976,286974,189002,75568400,8866,552,28.22,564648,5306344,38968,314400,4,23762,293832,0,0,18,81482976,1103354,1090,3650,0,0,10,23.13,43612325,4318137,283400,314400,48528262,14484,377270,17848,38968,448570,586,2720,0,0,6,4.79,28391776,904048,10432,0,29306255,335744,166462,5914,0,508120,78,2016,0,0,2,0.3,3564300,84159,0,0,3648458,125748,20916,0,0,146664,0,288,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Aiga-i-le-Tai,100,12,1808,924,996,812,510100,308652,201448,77113189,8866,552,29.68,621410,5732317,41756,314400,4,28388,334690,0,0,20,83494596,1201654,1100,3570,0,0,10,23.99,43639393,4639142,324258,293400,48896193,14384,412960,22358,36710,486412,622,2688,0,0,8,5.35,29623528,1007416,10432,21000,30662377,357860,186740,6030,5046,555676,84,2096,0,0,2,0.34,3554287,85759,0,0,3640046,117134,21710,0,0,138844,2,320,0,0,0,0.0,295981,0,0,0,295981,20722,0,0,0,20722,0,192,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0
Atua,10,12,4550,1570,2702,1848,942228,640124,302104,203931675,33628,2296,121.14,1452014,37465503,3517956,8240617,34,290974,1105792,0,0,22,250743587,6203172,3480,20782,0,0,22,95.66,159091559,29637702,855424,1338547,190923231,42112,705230,77154,117370,941866,814,6520,0,0,0,14.37,36106655,5235590,114752,1328088,42785085,380290,348558,78204,368882,1175934,184,2346,0,0,0,4.52,6436318,1467404,62592,551183,8517497,245704,160502,62592,220036,688834,62,2142,0,0,0,2.32,1963671,462087,31296,926774,3383828,169290,71666,31296,446092,718344,10,1838,0,0,0,4.27,333472,662721,41728,4096025,5133946,104832,166058,41728,2365576,2678194
Atua,50,12,5122,1868,3028,2094,1196006,826996,369010,225502839,34764,2374,138.41,1744500,43711577,3718034,8240617,34,360912,1210112,0,0,28,278665144,7019452,3834,20468,0,0,28,108.22,170844650,34581972,897152,1338547,207662321,56860,827274,92598,140698,1117430,996,7380,0,0,0,17.34,44406202,5812165,156480,1328088,51702935,481568,414238,111834,397042,1404682,192,2730,0,0,0,4.95,7158197,1996139,73024,551183,9778543,272496,214544,73024,240724,800788,90,2186,0,0,0,2.78,2760317,558306,31296,0,3349919,271050,86292,31296,0,388638,10,2000,0,0,0,5.11,333472,762995,52160,5022799,6171427,114032,202152,52160,2939570,3307914
Atua,100,12,5334,2038,3136,2198,1326082,923096,402986,235344638,35350,2422,145.86,1881486,46509417,3788990,8240617,34,391782,1283136,0,0,40,291377809,7388340,3906,20678,0,0,38,112.61,170913017,36151701,928448,1338547,209331713,45690,861348,90432,149836,1147306,1116,7436,0,0,2,19.58,53663002,6650005,177344,1328088,61818439,561754,460792,124006,409998,1556550,210,2874,0,0,0,5.47,7635392,2288862,83456,0,10007710,295990,247714,83456,0,627160,82,1978,0,0,0,2.88,2573363,564194,31296,551183,3720035,260256,88568,31296,249614,629734,20,2384,0,0,0,5.31,559865,854656,62592,5022799,6499912,162392,223064,62592,2979542,3427590
Fa'asaleleage,10,12,4072,1658,2252,1820,2129754,1499672,630082,206804212,21672,1460,123.4,1185882,26709784,884002,3165361,84,241894,1048412,0,0,36,237727769,4441532,2794,11942,0,0,30,97.01,145331189,22135947,871068,297987,168636191,41588,650752,94050,22322,808712,916,4942,0,0,6,19.94,42329976,3237380,93888,1929845,47591089,521374,307874,64388,500764,1394400,286,2702,0,0,0,4.42,15252177,965744,31296,570073,16819290,595754,133324,31296,164726,925100,54,1316,0,0,0,1.27,2005645,182765,31296,0,2219707,199358,40854,31296,0,271508,22,770,0,0,0,0.77,1885225,187949,20864,367455,2461493,771680,53078,20864,196190,1041812
Fa'asaleleage,50,12,4688,1944,2544,2144,2995656,2118442,877214,241805819,22344,1504,142.32,1435170,30572358,939946,3263067,88,307810,1214454,0,0,38,276855698,5678582,3166,11914,0,0,28,107.8,166068607,24499157,974518,395693,191937975,37660,745432,117474,34972,935538,1022,4634,0,0,10,26.09,50692907,4462224,146048,1685420,56986599,610260,402872,96448,452736,1562316,386,3150,0,0,0,5.15,17640323,1113237,41728,814499,19609786,692286,161384,41728,250180,1145578,78,1750,0,0,0,2.35,4526273,261548,31296,0,4819117,478804,61066,31296,0,571166,36,896,0,0,0,0.92,2877709,236192,20864,367455,3502221,1176646,64416,20864,202058,1463984
Fa'asaleleage,100,12,4884,2064,2660,2224,3353236,2364778,988458,250525344,22610,1528,150.8,1544878,32399170,971898,3458478,96,342470,1317034,0,0,40,287700026,6212482,3250,11914,0,0,28,113.05,168719011,25287158,1056234,591104,195653506,35536,778276,134586,48784,997182,1080,4662,0,0,10,28.45,53991161,5357599,166912,1574492,61090165,635336,454864,113996,438952,1643148,422,3360,0,0,2,5.55,19857489,1225670,41728,925426,22050313,783142,175038,41728,280484,1280392,86,1624,0,0,0,2.73,3780306,288549,31296,0,4100151,372588,69794,31296,0,473678,46,1050,0,0,0,1.02,4177378,240193,20864,367455,4805890,1526634,66906,20864,203678,1818082
Gaga'emauga,10,12,2676,1278,1456,1220,1326710,797860,528850,120528734,15514,954,78.51,1193050,20069024,280406,944583,6,239792,864986,0,0,28,142407326,3039958,1684,7392,0,0,16,53.79,79082800,13848783,625920,393400,93950903,20668,413702,58976,29194,522540,600,2860,0,0,6,15.1,24317385,3843751,166042,0,28327178,336702,319868,107792,0,764362,296,2206,0,0,2,5.82,12907915,1075220,62592,0,14045727,482034,163784,62592,0,708410,78,1240,0,0,4,1.86,3966672,505731,10432,551183,5034018,394144,73158,10432,251212,728946,18,1816,0,0,0,1.95,253960,795539,0,0,1049499,93162,222538,0,0,315700
Gaga'emauga,50,12,3006,1614,1652,1354,1851664,1141092,710572,134368752,15870,982,88.14,1476946,22499881,292232,944583,6,296906,969306,0,0,34,158782521,3917748,1684,7238,0,0,20,58.11,81152303,14774737,698944,393400,97019385,20436,474496,82956,31488,609376,782,3166,0,0,8,17.23,30618715,4592518,186906,0,35398140,403238,371766,130494,0,905498,406,1786,0,0,2,7.44,16711635,1341855,73024,0,18126514,654292,205266,73024,0,932582,86,1780,0,0,4,2.83,4809941,720785,10432,551183,6092341,506388,118664,10432,260744,896228,48,1900,0,0,0,2.53,1076157,1069985,0,0,2146142,267310,306754,0,0,574064
Gaga'emauga,100,12,3102,1714,1696,1406,2097422,1305314,792108,137714196,16028,994,91.74,1593524,23769622,296466,944583,6,323458,1052762,0,0,34,163481163,4310870,1684,6972,0,0,20,59.82,81005354,15608314,761536,393400,97768604,22718,505902,91538,32142,652300,806,3450,0,0,8,18.17,31584024,4815940,197338,0,36597302,418324,397962,138032,0,954318,460,1660,0,0,2,7.86,18657714,1354048,73024,0,20084786,754298,210180,73024,0,1037502,96,2002,0,0,4,3.23,5117128,871464,20864,551183,6560639,557248,147016,20864,264324,989452,56,1944,0,0,0,2.67,1349976,1119856,0,0,2469832,344834,332464,0,0,677298
Gaga'ifomauga,10,12,1754,704,1048,706,555774,365676,190098,80361995,9050,620,78.79,775076,25604148,79650,663900,8,419676,1731688,0,0,28,108361731,1830176,1250,4108,0,0,20,63.55,54437793,20539826,1403954,663900,77045472,17908,442492,188420,79650,728470,400,2608,0,0,8,13.97,22538740,4321082,286876,0,27146698,272744,246530,190398,0,709672,76,1568,0,0,0,0.94,2500954,439714,0,0,2940667,95904,42548,0,0,138452,18,480,0,0,0,0.13,563199,93999,0,0,657197,48802,11746,0,0,60548,10,286,0,0,0,0.2,321310,209528,40858,0,571696,120416,31760,40858,0,193034
Gaga'ifomauga,50,12,1916,890,1152,764,700610,454832,245778,86764103,9242,628,88.26,928750,29111816,83388,663900,8,569748,1946410,0,0,28,118486229,2282496,1304,3788,0,0,20,67.88,56431009,22141432,1546522,663900,80782863,23886,482170,270626,83388,860070,466,2848,0,0,8,18.59,24013373,6105577,328604,0,30447554,286450,343404,227838,0,857692,110,1728,0,0,0,1.3,5003799,554880,30426,0,5589104,159146,56030,30426,0,245602,26,560,0,0,0,0.27,994612,79447,0,0,1074059,97424,11280,0,0,108704,10,318,0,0,0,0.22,321310,230481,40858,0,592649,133704,35866,40858,0,210428
Gaga'ifomauga,100,12,2002,952,1198,804,766600,496254,270346,90082550,9286,634,91.31,994752,30186674,84988,663900,8,644764,2048990,0,0,28,122982114,2491104,1344,3544,0,0,20,68.2,58396442,21934703,1506534,663900,82501578,31066,479156,258028,84988,853238,486,3008,0,0,8,21.15,24513930,7319505,471172,0,32304607,298348,404088,315452,0,1017888,132,1792,0,0,0,1.44,5772565,580633,30426,0,6383624,186600,58952,30426,0,275978,28,480,0,0,0,0.29,1047433,100400,0,0,1147833,105496,13386,0,0,118882,12,462,0,0,0,0.24,352180,251433,40858,0,644471,145090,39170,40858,0,225118
Palauli,10,12,4064,1940,2064,2000,1914806,1321506,593300,158935883,17640,1318,127.65,2177982,44379878,783096,1863221,8,297578,907584,0,0,52,206086566,5173462,2618,8126,0,2,22,89.42,102455150,29584882,646784,293400,132980216,37402,663064,89496,24286,814248,1090,4706,0,0,20,27.21,42602296,8829950,156480,0,51588725,464414,600208,103762,0,1168384,260,2990,0,0,10,5.57,9887162,2483678,73024,100000,12543864,417764,262100,73024,38322,791210,52,918,0,0,0,2.39,2829107,1218798,10432,734910,4793247,273250,156224,10432,334612,774518,44,900,0,0,0,3.07,1162168,2262571,20864,734910,4180513,721976,496386,20864,385876,1625102
Palauli,50,12,4482,2296,2262,2220,2521784,1724112,797672,171698756,18146,1356,145.03,2575946,50247547,831930,1986721,10,356030,1053632,0,0,54,224986655,6285690,2606,7758,0,2,20,98.5,98972662,32726565,719808,416900,132835935,36080,741470,96718,36906,911174,1412,5028,0,0,20,32.51,54242648,10592520,219072,0,65054240,606856,727896,144560,0,1479312,334,3026,0,0,14,7.23,12610907,2756594,52160,100000,15519661,498110,302366,52160,41032,893668,82,1388,0,0,0,2.83,4477110,1424349,41728,734910,6678097,464452,182432,41728,364352,1052964,48,946,0,0,0,3.97,1395430,2747519,20864,734910,4898723,916286,621782,20864,389640,1948572
Palauli,100,12,4656,2450,2346,2310,2792560,1901618,890942,178666484,18278,1368,150.95,2745052,52209297,849468,1986721,10,384808,1147520,0,0,56,234010022,6771888,2658,7764,0,2,22,100.26,100682257,33476814,792832,416900,135368803,35326,768222,107618,39938,951104,1462,4794,0,0,18,34.95,57189340,11101132,239936,0,68530407,666348,763486,162438,0,1592272,396,3188,0,0,10,8.56,14597553,3281952,41728,100000,18021234,583642,359290,41728,42234,1026894,90,1482,0,0,6,2.93,4551765,1529864,52160,734910,6868699,499444,197032,52160,376378,1125014,50,1050,0,0,0,4.24,1645569,2819535,20864,734910,5220879,1007800,657022,20864,390918,2076604
Satupa'itea,10,12,2326,556,1230,1096,360012,192564,167448,113706042,9202,568,58.36,642246,17247031,91358,710300,6,132582,542464,0,0,30,132205837,1226198,1920,5678,0,0,30,48.14,98930727,14128493,417280,710300,114186800,9730,357280,37504,91358,495872,288,1912,0,0,0,7.6,10766767,2371041,83456,0,13221264,122590,177258,53350,0,353198,96,856,0,0,0,1.36,3507483,603913,31296,0,4142692,149412,66862,31296,0,247570,16,486,0,0,0,0.66,420873,93220,10432,0,524524,41764,21634,10432,0,73830,6,270,0,0,0,0.6,80192,50364,0,0,130556,36516,19212,0,0,55728
Satupa'itea,50,12,2558,662,1376,1182,463836,254264,209572,123068106,9278,578,64.7,745394,19494209,109088,710300,6,147560,573760,0,0,30,143846374,1465878,2104,5508,0,0,30,51.5,106187253,15670641,438144,710300,123006338,16194,394964,43354,109088,563600,300,2022,0,0,0,9.86,11369146,2747445,83456,0,14200046,122980,205872,52046,0,380898,120,812,0,0,0,1.96,4722346,883013,41728,0,5647087,209972,95922,41728,0,347622,28,666,0,0,0,0.64,709168,130517,10432,0,850117,74274,24934,10432,0,109640,6,270,0,0,0,0.74,80192,62594,0,0,142786,40416,23702,0,0,64118
Satupa'itea,100,12,2646,720,1432,1214,517520,288004,229516,127245396,9278,578,67.57,791124,20550912,114356,710300,6,154404,594624,0,0,30,149101232,1577404,2162,5466,0,0,30,53.2,109516086,16253803,459008,710300,126939198,21132,406716,48878,114356,591082,318,2064,0,0,0,10.77,11971600,3063986,83456,0,15119042,131658,222516,53366,0,407540,114,794,0,0,0,2.14,4121402,975247,41728,0,5138376,179704,105214,41728,0,326646,44,630,0,0,0,0.58,1375027,146065,10432,0,1531524,110722,24864,10432,0,146018,8,324,0,0,0,0.88,261281,111810,0,0,373091,74304,31814,0,0,106118
Tuamasaga,10,12,21710,8090,12102,9608,15679836,6133300,9546536,2001453739,148320,7064,391.63,4332092,73097233,32706906,104631155,468,348762,1723886,2,0,120,2180906014,53067596,15852,91998,2,8,104,315.03,1475856809,59015642,1452654,28626835,1564951941,374672,2641904,134600,2928876,6080052,4404,29758,0,0,14,59.8,402959325,11836250,187776,39134217,454117569,5090474,1239868,130706,10944204,17405252,968,13170,0,0,2,11.25,85758887,1472048,41728,17935949,105208612,3414666,255372,41728,6122764,9834530,334,6396,0,0,0,3.42,24738850,469326,41728,3063808,28313712,2364378,91642,41728,1362588,3860336,152,6998,0,0,0,2.13,12139868,303967,0,15870347,28314181,4435646,103306,0,11348474,15887426
Tuamasaga,50,12,24876,10140,13906,10970,20874272,8507682,12366590,2219897757,154514,7366,449.47,5254458,84036904,34891804,106174257,486,429108,1953390,2,0,136,2412062308,61449642,17250,93454,2,8,108,349.87,1541314843,64969842,1609134,29966674,1637860493,470304,2988234,159826,4107036,7725400,5668,31122,0,0,24,76.64,518492536,15824027,229504,38955022,573501089,6713564,1622180,154530,11228432,19718706,1322,14510,0,0,4,15.61,112125168,2350893,73024,17704858,132253943,4596406,407642,73024,6512446,11589518,432,6406,0,0,0,4.57,32450197,517033,41728,3677356,36686314,3274058,111738,41728,1616792,5044316,204,9022,0,0,0,2.79,15515013,375109,0,15870347,31760469,5819940,124664,0,11427098,17371702
Tuamasaga,100,12,25972,10998,14488,11484,23243162,9665806,13577356,2294292236,156620,7470,473.57,5664812,88473697,35703140,106987311,494,465504,2078574,2,0,138,2491831818,65076618,17634,93658,2,8,96,362.74,1555211803,66803001,1703022,20577649,1644295475,507788,3100246,172404,1933268,5713706,6156,31276,0,0,38,84.88,556753619,17924758,260800,48561682,623500859,7279908,1827702,178348,13794458,23080416,1470,15486,0,0,4,17.71,128812919,2761041,73024,17834322,149481305,5274922,475548,73024,6700442,12523936,486,6798,0,0,0,5.21,35940086,594808,41728,4143312,40719934,3596386,128054,41728,1809768,5575936,226,9402,0,0,0,3.03,17573809,390089,0,15870347,33834244,6584158,133262,0,11465204,18182624
Va'a-o-Fonoti,10,12,676,92,470,206,18766,12208,6558,30097467,4620,264,13.7,216586,3048844,22230,200000,4,11354,114752,0,0,6,33461064,268936,640,2754,0,0,6,11.98,28546226,2585022,114752,200000,31446000,3914,140886,11354,22230,178384,34,1262,0,0,0,1.35,1523249,340932,0,0,1864182,12354,47188,0,0,59542,0,492,0,0,0,0.2,0,80021,0,0,80021,0,14162,0,0,14162,2,80,0,0,0,0.1,27992,23816,0,0,51808,2498,7310,0,0,9808,0,32,0,0,0,0.08,0,19053,0,0,19053,0,7040,0,0,7040
Va'a-o-Fonoti,50,12,744,136,510,234,26796,17666,9130,32755410,4620,264,15.57,247014,3501614,22504,200000,4,19544,156480,0,0,6,36613504,315858,686,2652,0,0,6,13.8,30353056,3027738,156480,200000,33737274,3798,164768,19544,22504,210614,56,1252,0,0,0,1.31,2374362,331934,0,0,2706296,20422,46800,0,0,67222,0,604,0,0,0,0.24,0,89548,0,0,89548,0,17132,0,0,17132,2,48,0,0,0,0.14,27992,33342,0,0,61334,2576,10586,0,0,13162,0,64,0,0,0,0.08,0,19053,0,0,19053,0,7728,0,0,7728
Va'a-o-Fonoti,100,12,790,154,538,252,30586,20486,10100,35044067,4636,266,16.36,260756,3701965,22616,200000,4,23350,156480,0,0,6,39102512,337308,726,2654,0,0,6,14.51,32488368,3220924,156480,200000,36065772,4792,175312,23350,22616,226070,62,1210,0,0,0,1.32,2527707,322935,0,0,2850642,23218,45168,0,0,68386,0,646,0,0,0,0.27,0,63795,0,0,63795,0,16908,0,0,16908,2,14,0,0,0,0.12,27992,60968,0,0,88960,2576,10684,0,0,13260,0,112,0,0,0,0.14,0,33342,0,0,33342,0,12684,0,0,12684
Vaisigano,10,12,1846,788,818,1028,1866232,1130234,735998,89394053,10922,1058,73.56,836048,16899887,319384,1606482,92,113364,548542,0,0,30,108448964,3135028,1252,6246,0,0,18,58.82,59344799,13998726,496382,432257,74272164,17886,468426,75068,47270,608650,342,1932,0,0,8,11.15,17493051,2245462,31296,422932,20192741,209430,229652,17432,81176,537690,116,1128,0,0,4,1.36,7211670,340925,10432,751293,8314320,313576,54260,10432,190938,569206,82,606,0,0,0,0.84,2327481,195947,10432,0,2533859,242914,37110,10432,0,290456,54,1010,0,0,0,1.39,3017052,118827,0,0,3135879,1082426,46600,0,0,1129026
Vaisigano,50,12,2072,900,908,1164,2203330,1329972,873358,97404063,11120,1078,81.21,968272,18962034,340704,1615836,94,131138,558974,0,0,36,118540907,3643444,1386,5914,0,0,20,63.28,62625290,15409819,506814,248166,78790089,18718,516104,92028,23172,650022,406,2294,0,0,12,13.74,20792490,2777361,31296,575962,24177109,255714,293566,18246,108892,676418,122,1272,0,0,2,1.66,7317456,367362,10432,791708,8486958,311878,56012,10432,208640,586962,92,482,0,0,2,0.98,3359443,274990,0,0,3634433,325748,49556,0,0,375304,66,1158,0,0,0,1.55,3309384,132502,10432,0,3452318,1291272,53034,10432,0,1354738
Vaisigano,100,12,2150,964,948,1202,2356034,1419708,936326,100665681,11210,1084,84.74,1025736,19999631,350080,1615836,94,137904,558974,0,0,38,122840122,3869754,1410,5822,0,0,20,65.59,63241222,16026346,506814,248166,80022548,17688,538490,98374,25260,679812,450,2438,0,0,14,14.62,23164318,3058746,31296,575962,26830322,288004,309322,18666,111962,727954,126,1262,0,0,2,1.98,7304071,502286,10432,791708,8608496,319372,72540,10432,212858,615202,92,530,0,0,2,0.88,3517878,262610,0,0,3780488,345880,45840,0,0,391720,72,1158,0,0,0,1.67,3438192,149643,10432,0,3598267,1385090,59544,10432,0,1455066
