Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0_5.Buildings,Depth.range_<_0_5.Population,Depth.range_0_5_1_0.Buildings,Depth.range_0_5_1_0.Population,Depth.range_1_0_1_5.Buildings,Depth.range_1_0_1_5.Population,Depth.range_1_5_2_0.Buildings,Depth.range_1_5_2_0.Population,Depth.range_2_0_+.Buildings,Depth.range_2_0_+.Population
National,ssp245 (medium confidence),50,2020,0.055,1,0.6321,725,42,403,322,5448,2593,2855,38079743,13456,0,15.26,72417,1508080,450905,5691995,48,28922,338460,2,0,3,45618278,557691,718,12306,7,1150,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2020,0.055,5,0.1813,14444,13157,8612,5832,62073790,38521226,23552564,1007229418,39942,0,264.39,11668518,56554231,15140057,59489731,611,1496927,1786736,14,0,41,1125060115,90379292,1757,3478,2480,3354,4370,5062,5160,16017,677,12031
National,ssp245 (medium confidence),50,2020,0.055,10,0.0952,15294,13874,9076,6218,95986528,60768997,35217531,1040464848,41590,0,280.39,13369727,59656102,17554549,59489731,611,1597287,1913608,17,0,42,1161524288,128508091,1866,4144,2044,2567,2952,4946,6300,8021,2132,21912
National,ssp245 (medium confidence),50,2020,0.055,25,0.0392,16358,14777,9672,6686,163279247,106197315,57081932,1089423885,43613,0,299.38,15473072,63546904,20174129,59614731,612,1718118,2060172,17,0,44,1214645692,200644565,2101,4216,1689,3027,2330,3875,3692,4696,6546,27799
National,ssp245 (medium confidence),50,2020,0.055,50,0.0198,17111,15493,10085,7026,224078824,147427020,76651805,1123961393,45015,0,311.89,16943597,65587657,21667377,59614731,612,1805281,2159354,18,0,49,1251323135,264495079,2198,4148,1682,3566,2110,3011,2741,4739,8380,29551
National,ssp245 (medium confidence),50,2020,0.055,100,0.01,17732,16092,10422,7310,284623762,188154903,96468859,1149603478,45988,0,323.57,18197499,67479098,22921553,59614731,612,1882019,2227729,19,0,49,1278925035,327624833,2181,3993,1778,3702,1954,2889,2326,4562,9493,30842
National,ssp245 (medium confidence),50,2020,0.055,250,0.004,18511,16849,10822,7689,367566907,242667716,124899192,1179635957,47609,0,338.58,19724556,70636362,24281812,59989731,615,1981540,2334551,19,0,51,1312596600,413554815,2241,4157,1827,3807,1872,3320,2072,3577,10499,32748
National,ssp245 (medium confidence),50,2030,0.104,1,0.6321,772,119,428,344,9279,4571,4708,40061223,13785,0,16.03,93449,1613330,559697,5803583,50,41222,348012,2,0,3,47826148,703647,758,11424,14,2361,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2030,0.104,5,0.1813,14478,13533,8635,5843,67611495,42100138,25511357,1008323734,40014,0,265.29,12045624,56700179,15649996,59489731,611,1523011,1797784,14,0,41,1126311428,96830127,1616,3243,2383,3353,3954,4880,5660,15053,865,13485
National,ssp245 (medium confidence),50,2030,0.104,10,0.0952,15353,14186,9110,6243,104242244,66251645,37990599,1042653888,41660,0,281.41,13723440,59872822,17952557,59489731,611,1622286,1922642,17,0,42,1163939083,137540526,1767,3798,1960,2679,2828,4813,5994,7067,2804,23303
National,ssp245 (medium confidence),50,2030,0.104,25,0.0392,16409,15187,9697,6712,175549358,114483678,61065680,1091015138,43722,0,300.18,15833829,63703630,20501174,59614731,612,1744043,2067972,17,0,44,1216401472,213628404,1982,3899,1665,3308,2256,3451,3437,4872,7069,28192
National,ssp245 (medium confidence),50,2030,0.104,50,0.0198,17168,15888,10115,7053,239486068,157826364,81659704,1125722095,45159,0,312.75,17311654,65715930,21969392,59614731,612,1832844,2166438,18,0,49,1253219194,280599958,2049,3915,1713,3493,2043,3121,2625,4637,8738,29993
National,ssp245 (medium confidence),50,2030,0.104,100,0.01,17784,16505,10445,7339,302044445,199858598,102185847,1151065371,46120,0,324.43,18559401,67603067,23196096,59739731,613,1910372,2233969,19,0,49,1280642139,345710313,2039,3737,1799,3688,1919,2796,2265,4533,9762,31366
National,ssp245 (medium confidence),50,2030,0.104,250,0.004,18563,17274,10850,7713,386362199,254862279,131499920,1181329130,47643,0,339.67,20093227,70883052,24557891,59989731,615,2010794,2346251,19,0,51,1314548164,433024112,2098,3876,1844,3826,1847,3254,2066,3495,10708,33192
National,ssp245 (medium confidence),50,2040,0.158,1,0.6321,1206,119,703,503,19437,11132,8305,61557125,17187,0,21.39,127066,2235349,701117,6282071,61,61778,406276,2,0,4,70480821,909398,1181,14194,25,2993,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2040,0.158,5,0.1813,14819,13533,8801,6018,74529641,46587691,27941950,1019848717,40779,0,272.14,12450954,57967150,16146477,59489731,611,1550900,1857256,16,0,41,1139162854,104677972,1796,3827,2215,2906,3593,5072,6114,12904,1101,16070
National,ssp245 (medium confidence),50,2040,0.158,10,0.0952,15703,14186,9303,6400,114673290,73254831,41418458,1056935046,42644,0,288.43,14113917,61147417,18367843,59489731,611,1649894,1984812,17,0,43,1179557006,148804945,1962,4460,1846,2727,2710,4488,5578,6078,3607,24891
National,ssp245 (medium confidence),50,2040,0.158,25,0.0392,16783,15187,9908,6875,190531871,124602883,65928987,1106721011,44423,0,306.51,16237733,64710294,20847548,59614731,612,1774298,2121626,17,0,45,1233167662,229391450,2158,4020,1674,3714,2194,3051,3168,4928,7589,28710
National,ssp245 (medium confidence),50,2040,0.158,50,0.0198,17522,15888,10295,7227,257764286,170150444,87613841,1140068246,45821,0,319.37,17714655,66781612,22297421,59614731,612,1863963,2211870,19,0,49,1268676459,299640325,2168,4101,1778,3571,1998,3095,2460,4545,9118,30509
National,ssp245 (medium confidence),50,2040,0.158,100,0.01,18194,16505,10665,7529,322088241,213187655,108900586,1165695146,47008,0,331.5,18960447,69148411,23498155,59989731,615,1942591,2292693,19,0,49,1297125981,366489435,2249,4316,1827,3717,1871,2938,2191,4332,10056,31705
National,ssp245 (medium confidence),50,2040,0.158,250,0.004,18928,17274,11056,7872,407385966,268260623,139125342,1197211201,48124,0,346.81,20514728,72506142,24861999,59989731,615,2042913,2392527,19,0,54,1332099600,454805606,2235,3869,1901,3966,1803,3161,2038,3569,10951,33559
National,ssp245 (medium confidence),50,2050,0.228,1,0.6321,1720,265,1036,684,42729,25547,17182,91046871,20072,0,28.51,177518,3023581,881193,6762402,69,91451,508770,4,0,5,101341624,1192890,1667,15581,53,4491,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2050,0.228,5,0.1813,15188,13815,9003,6185,84142416,52856097,31286319,1033372822,41423,0,278.21,12969680,59123514,16769078,59489731,611,1586762,1911236,17,0,42,1153897303,115467935,1908,4200,2093,2628,3286,4888,6437,10826,1464,18881
National,ssp245 (medium confidence),50,2050,0.228,10,0.0952,16045,14526,9477,6568,128943280,82850526,46092753,1071800012,43134,0,294.09,14620912,62171794,18894853,59489731,611,1686314,2031382,17,0,43,1195492919,164145359,2069,4354,1756,2890,2597,4075,5009,5387,4614,26428
National,ssp245 (medium confidence),50,2050,0.228,25,0.0392,17139,15577,10094,7045,210824450,138302241,72522209,1122254228,45150,0,312.11,16761981,65599226,21293424,59614731,612,1814104,2173068,18,0,49,1249641253,250693960,2235,4301,1686,3622,2138,2887,2915,4710,8165,29630
National,ssp245 (medium confidence),50,2050,0.228,50,0.0198,17879,16304,10496,7383,282060762,186503872,95556890,1154042181,46463,0,325.8,18235224,68211292,22711527,59739731,613,1904742,2257628,19,0,49,1284250831,324912255,2256,4239,1803,3782,1926,2834,2359,4440,9535,31168
National,ssp245 (medium confidence),50,2050,0.228,100,0.01,18536,16942,10845,7691,348410023,230573495,117836528,1177943146,47479,0,338.42,19482087,70751059,23891229,59989731,615,1984387,2337281,19,0,51,1311021217,393767726,2301,4194,1862,3742,1826,3272,2153,3672,10394,32599
National,ssp245 (medium confidence),50,2050,0.228,250,0.004,19247,17698,11241,8006,434733731,285573366,149160364,1210835969,48482,0,353.99,21071215,74125305,25258178,59989731,615,2084584,2443029,19,0,56,1347394034,483147707,2277,3811,1943,3786,1756,3224,2067,3486,11204,34175
National,ssp245 (medium confidence),50,2060,0.29,1,0.6321,1910,265,1175,735,76812,46166,30645,103301864,21033,0,30.94,232658,3285540,1038209,7156704,75,121801,538602,4,0,5,114282710,1469479,1808,15269,102,5764,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2060,0.29,5,0.1813,15282,13815,9056,6226,93513261,59007576,34505685,1039017095,41653,0,280.14,13422499,59474635,17292645,59489731,611,1618185,1925014,17,0,42,1159906474,125846590,1776,4087,1993,2540,3088,4868,6436,9144,1989,21014
National,ssp245 (medium confidence),50,2060,0.29,10,0.0952,16165,14526,9544,6621,142576537,92037094,50539443,1075998324,43215,0,295.78,15072652,62433038,19346587,59489731,611,1719456,2047468,17,0,43,1199968561,178715231,1995,3881,1695,3187,2490,3674,4509,5012,5476,27461
National,ssp245 (medium confidence),50,2060,0.29,25,0.0392,17259,15577,10160,7099,229954803,151209014,78745789,1126912460,45369,0,313.99,17229035,65937060,21684189,59614731,612,1850167,2185612,18,0,49,1254649863,270718194,2104,3991,1742,3704,2026,2757,2710,4860,8677,30057
National,ssp245 (medium confidence),50,2060,0.29,50,0.0198,18016,16304,10567,7449,304380951,201490229,102890723,1158743461,46637,0,327.71,18695686,68562918,23063537,59739731,613,1941473,2271732,19,0,49,1289317842,348081647,2156,3886,1858,3970,1818,2815,2317,4257,9867,31709
National,ssp245 (medium confidence),50,2060,0.29,100,0.01,18623,16942,10893,7730,372174099,246115113,126058986,1181474668,47721,0,340.17,19948400,71127866,24241570,59989731,615,2021486,2354083,19,0,51,1314946348,418385555,2135,3760,1912,3930,1770,3440,2145,3321,10661,33270
National,ssp245 (medium confidence),50,2060,0.29,250,0.004,19346,17698,11295,8051,459081898,300833799,158248099,1214565761,48574,0,355.95,21579530,74501557,25611690,59989731,615,2121573,2460349,19,0,56,1351517398,508394691,2104,3392,1964,3847,1792,3356,2015,3373,11471,34606
National,ssp245 (medium confidence),50,2070,0.372,1,0.6321,3055,457,1967,1088,149109,91787,57322,181892378,24778,0,44.03,331478,4958164,1248083,8465607,94,166278,676484,4,0,12,195992634,1894949,2826,17215,229,7563,0,0,0,0,0,0
National,ssp245 (medium confidence),50,2070,0.372,5,0.1813,15686,14167,9280,6406,108003176,68670735,39332441,1054803668,42540,0,288.23,14017226,60938607,17954578,59489731,611,1660061,1990694,17,0,43,1177222700,141635041,1961,4283,1811,2788,2856,4345,6045,6870,3013,24254
National,ssp245 (medium confidence),50,2070,0.372,10,0.0952,16569,14925,9775,6794,162389173,105401430,56987742,1094549270,43978,0,302.45,15672088,63766994,19917902,59614731,612,1764692,2106870,17,0,44,1220037865,199743855,2124,4017,1651,3303,2379,3544,3789,4771,6626,28343
National,ssp245 (medium confidence),50,2070,0.372,25,0.0392,17667,16008,10367,7300,257222239,169584221,87638018,1143621259,46138,0,321.38,17843646,67418503,22190105,59739731,613,1898426,2245084,18,0,49,1273024576,299154415,2184,4098,1794,3783,1934,2857,2540,4667,9215,30733
National,ssp245 (medium confidence),50,2070,0.372,50,0.0198,18458,16712,10812,7646,335038340,221886039,113152301,1173327977,47381,0,335.47,19307670,70300493,23520459,59864731,614,1990574,2324088,19,0,49,1305817289,379857043,2253,4101,1938,3899,1720,3135,2249,3988,10298,32258
National,ssp245 (medium confidence),50,2070,0.372,100,0.01,19030,17351,11129,7901,404078156,266629012,137449145,1201270671,48335,0,348.23,20582263,72909078,24689584,59989731,615,2070028,2417193,19,0,53,1336586673,451420031,2187,3839,2003,3954,1731,3232,2093,3509,11016,33801
National,ssp245 (medium confidence),50,2070,0.372,250,0.004,19785,18129,11541,8244,491239837,320650475,170589362,1235852674,49236,0,364.56,22269246,76639596,26088378,59989731,615,2171493,2526448,20,0,57,1375008449,541768954,2195,3424,2029,3898,1767,3509,1973,3248,11821,35157
National,ssp245 (medium confidence),50,2080,0.458,1,0.6321,4799,791,3179,1620,255146,158434,96712,307107948,27616,0,66.67,482671,8123100,1468339,9482691,110,217809,808030,5,0,15,325521768,2423965,4421,18287,378,9321,0,8,0,0,0,0
National,ssp245 (medium confidence),50,2080,0.458,5,0.1813,16092,14484,9494,6598,125123558,80167380,44956179,1071948320,43094,0,295.07,14642221,62132210,18617950,59489731,611,1705648,2043894,17,0,43,1195614155,160089377,2056,4062,1748,3021,2648,3998,5288,5444,4352,26569
National,ssp245 (medium confidence),50,2080,0.458,10,0.0952,16971,15358,9996,6975,184960917,120594797,64366120,1112038604,45008,0,309.32,16306286,65056278,20490865,59614731,612,1813780,2167576,17,0,46,1238877189,223571848,2200,4416,1674,3497,2215,2927,3325,5187,7557,28981
National,ssp245 (medium confidence),50,2080,0.458,25,0.0392,18119,16414,10629,7490,287461459,189919806,97541653,1160589178,46799,0,329.03,18487020,69058528,22699471,59739731,613,1949533,2283854,19,0,49,1291671291,330597483,2275,4061,1878,4119,1805,2879,2412,4068,9749,31672
National,ssp245 (medium confidence),50,2080,0.458,50,0.0198,18820,17173,11022,7798,368038755,243541763,124496992,1190181202,47984,0,343.15,19956170,71877630,24006747,59989731,615,2041873,2387879,19,0,51,1324436443,414043544,2262,3854,1988,4034,1713,3471,2161,3114,10696,33511
National,ssp245 (medium confidence),50,2080,0.458,100,0.01,19456,17791,11365,8091,437960545,288101017,149859528,1217464205,48805,0,356.61,21274673,74961664,25173069,59989731,615,2120950,2472209,19,0,56,1354887809,486529238,2249,3735,2036,3749,1732,3394,2064,3479,11375,34448
National,ssp245 (medium confidence),50,2080,0.458,250,0.004,20221,18566,11758,8463,524644163,340815776,183828387,1251659586,50289,0,373.55,23009096,79056601,26594112,59989731,615,2224206,2585271,20,0,58,1393291188,576471577,2267,3938,2061,3808,1776,3584,1930,3007,12187,35952
National,ssp245 (medium confidence),50,2090,0.538,1,0.6321,6374,1289,4212,2162,397783,248014,149769,419400331,28699,0,90.18,684799,11713422,1704685,12413074,121,274242,910236,7,0,19,444437064,3061509,5807,17052,561,10854,6,793,0,0,0,0
National,ssp245 (medium confidence),50,2090,0.538,5,0.1813,16483,14873,9717,6766,142793930,92073131,50720799,1087021243,43829,0,300.56,15224341,63222615,19204956,59614731,612,1749643,2100534,17,0,43,1211959122,178972870,2186,4119,1672,3284,2506,3498,4534,5094,5585,27834
National,ssp245 (medium confidence),50,2090,0.538,10,0.0952,17399,15762,10224,7175,207864213,135996910,71867302,1129804423,45860,0,316.13,16902820,66564594,21012372,59614731,612,1860337,2219184,18,0,49,1258202932,247639742,2294,4578,1734,3851,2076,2586,3018,4924,8277,29921
National,ssp245 (medium confidence),50,2090,0.538,25,0.0392,18516,16831,10853,7663,316869965,209596223,107273742,1175796579,47456,0,336.54,19086778,70512687,23153156,59739731,613,1997284,2340564,19,0,49,1308389561,361107183,2354,4151,1957,4063,1709,2922,2350,3928,10146,32392
National,ssp245 (medium confidence),50,2090,0.538,50,0.0198,19241,17576,11260,7981,399280950,263726605,135554345,1207473028,48636,0,350.7,20574443,73831805,24452451,59989731,615,2089245,2444033,19,0,53,1343738597,446397089,2333,3993,2052,3875,1691,3711,2122,2970,11043,34087
National,ssp245 (medium confidence),50,2090,0.538,100,0.01,19880,18258,11601,8279,469599234,307877363,161721871,1235582156,49598,0,364.46,21942934,77114964,25644041,59989731,615,2168924,2538116,20,0,57,1375224967,519355134,2341,3972,2049,3757,1782,3617,1965,2948,11743,35304
National,ssp245 (medium confidence),50,2090,0.538,250,0.004,20671,18972,12005,8666,555057208,358685529,196371679,1269571764,50934,0,383.43,23716199,81641496,27046489,59989731,615,2273494,2654039,21,0,58,1413857030,608093389,2374,3973,2086,3691,1818,3687,1895,3336,12498,36247
National,ssp245 (medium confidence),50,2100,0.626,1,0.6321,7474,2009,4940,2534,630770,396343,234427,497001961,29370,0,109.49,987322,15286916,2016615,14323608,143,348978,1008344,7,0,21,527620829,3983685,6571,14170,886,12561,17,2639,0,0,0,0
National,ssp245 (medium confidence),50,2100,0.626,5,0.1813,16855,15315,9916,6939,164080896,106419107,57661789,1105191295,44665,0,306.98,15866160,64601030,19820798,59614731,612,1799415,2153472,17,0,45,1231560528,201567270,2256,4468,1657,3306,2333,3163,3805,4912,6804,28816
National,ssp245 (medium confidence),50,2100,0.626,10,0.0952,17796,16211,10432,7364,235284676,154451640,80833036,1144581300,46343,0,323.04,17565018,67924830,21577458,59739731,613,1911885,2265818,18,0,49,1274511679,276339037,2329,4353,1824,4053,1908,2599,2789,4743,8946,30595
National,ssp245 (medium confidence),50,2100,0.626,25,0.0392,18895,17298,11065,7830,350363519,231784091,118579428,1190780875,48083,0,343.66,19751597,72090599,23642934,59989731,615,2049957,2393598,19,0,51,1325254803,395808007,2354,4174,2040,3816,1653,3458,2238,3250,10610,33385
National,ssp245 (medium confidence),50,2100,0.626,50,0.0198,19643,18042,11479,8164,434054052,285847156,148206896,1223899741,49385,0,358.31,21281621,75895893,24932770,59989731,615,2141094,2498045,19,0,56,1362283410,482409537,2355,4051,2088,3950,1726,3417,2022,3194,11452,34773
National,ssp245 (medium confidence),50,2100,0.626,100,0.01,20270,18650,11804,8466,504256090,329195000,175061090,1253388178,50286,0,373.68,22700937,79401501,26173193,59989731,615,2222634,2597783,20,0,57,1395377193,555352854,2338,3926,2117,3848,1799,3751,1906,2804,12110,35957
National,ssp245 (medium confidence),50,2100,0.626,250,0.004,21063,19370,12215,8848,587389932,377073504,210316428,1286621911,51632,0,392.91,24516245,84465743,27522725,60242856,616,2328100,2712827,21,0,58,1434043337,641757001,2362,3828,2134,3741,1878,4037,1823,3186,12866,36840
