Region,Scenario,Percentile,Year,SLR,Return_Period,Exceedance_Probability,Exposed_Buildings,Damaged_Buildings,Exposed_Residential_Buildings,Exposed_Nonresidential_Buildings,Building_Loss,Residential_Building_Loss,Nonresidential_Building_Loss,Exposed_Building_Value,Exposed_Population,Exposed_Households,Exposed_Road_km,Road_Loss,Exposed_Road_Value,Infrastructure_Loss,Exposed_Infrastructure_Value,Exposed_Infrastructure,Crop_Loss,Total_Crop_Value,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Total_Exposed_Value,Total_Loss,Depth.range_<_0_5.Buildings,Depth.range_<_0_5.Population,Depth.range_0_5_1_0.Buildings,Depth.range_0_5_1_0.Population,Depth.range_1_0_1_5.Buildings,Depth.range_1_0_1_5.Population,Depth.range_1_5_2_0.Buildings,Depth.range_1_5_2_0.Population,Depth.range_2_0_+.Buildings,Depth.range_2_0_+.Population
National,ssp585 (medium confidence),50,2060,0.35,25,0.0392,17642,16008,10354,7288,249833327,164605661,85227666,1142009709,46120,0,321.0,17678741,67338884,22054778,59739731,613,1885456,2241964,18,0,49,1271330288,291452300,2253,4313,1765,3699,1966,2860,2577,4802,9081,30446
National,ssp585 (medium confidence),50,2060,0.35,50,0.0198,18432,16712,10798,7634,326770814,216392561,110378254,1172766981,47341,0,334.95,19143256,70186569,23398193,59864731,614,1977379,2319408,19,0,49,1305137688,371289641,2330,4195,1909,4037,1749,2883,2263,4105,10181,32121
National,ssp585 (medium confidence),50,2060,0.35,100,0.01,19008,17351,11119,7889,395500863,261126816,134374047,1200212204,48288,0,347.73,20411445,72811192,24569957,59989731,615,2057021,2412807,19,0,53,1335425933,442539286,2262,3910,1973,4012,1745,3387,2094,3224,10934,33755
National,ssp585 (medium confidence),50,2060,0.35,250,0.004,19761,18129,11527,8234,482613755,315347462,167266293,1235042027,49187,0,363.93,22083283,76487982,25960146,59989731,615,2158060,2522126,20,0,57,1374041866,532815243,2253,3653,2031,3748,1765,3479,1981,3314,11731,34993
National,ssp585 (medium confidence),50,2070,0.457,1,0.6321,4793,791,3175,1618,253766,157569,96197,306473519,27616,0,66.58,480641,8110596,1465786,9482691,110,217185,807250,5,0,15,324874056,2417378,4419,18287,374,9328,0,1,0,0,0,0
National,ssp585 (medium confidence),50,2070,0.457,5,0.1813,16092,14484,9494,6598,124915400,80027301,44888099,1071948320,43094,0,295.07,14634947,62132210,18610384,59489731,611,1705108,2043114,17,0,43,1195613375,159865839,2057,4067,1751,3016,2649,3998,5299,5448,4336,26565
National,ssp585 (medium confidence),50,2070,0.457,10,0.0952,16969,15358,9995,6974,184689848,120412515,64277333,1112018934,45008,0,309.31,16298883,65055088,20484329,59614731,612,1813202,2167576,17,0,46,1238856329,223286262,2201,4424,1674,3489,2217,2927,3325,5187,7552,28981
National,ssp585 (medium confidence),50,2070,0.457,25,0.0392,18118,16414,10629,7489,287102232,189678440,97423792,1160502922,46799,0,329.01,18479544,69056938,22693658,59739731,613,1948937,2283854,19,0,49,1291583445,330224371,2281,4099,1874,4081,1806,2879,2411,4068,9746,31672
National,ssp585 (medium confidence),50,2070,0.457,50,0.0198,18820,17173,11022,7798,367651201,243288935,124362267,1190181202,47984,0,343.14,19948598,71877140,24001046,59989731,615,2041278,2387879,19,0,51,1324435953,413642122,2264,3854,1989,4034,1716,3518,2159,3067,10692,33511
National,ssp585 (medium confidence),50,2070,0.457,100,0.01,19455,17791,11364,8091,437564583,287851548,149713035,1217456234,48805,0,356.6,21266483,74960473,25167358,59989731,615,2120357,2472209,19,0,56,1354878647,486118781,2253,3735,2032,3760,1737,3383,2062,3479,11371,34448
National,ssp585 (medium confidence),50,2070,0.457,250,0.004,20220,18566,11757,8463,524257514,340584465,183673048,1251646685,50261,0,373.49,23000373,79030011,26588206,59989731,615,2223591,2585271,20,0,58,1393251698,576069684,2269,3961,2062,3757,1779,3607,1927,2984,12183,35952
National,ssp585 (medium confidence),50,2080,0.577,1,0.6321,6552,1289,4328,2224,484674,302644,182030,429713257,28829,0,93.13,806973,12228364,1836784,12413074,121,305308,925542,7,0,19,455280237,3433739,5854,15518,689,11474,9,1837,0,0,0,0
National,ssp585 (medium confidence),50,2080,0.577,5,0.1813,16543,14873,9746,6797,151956584,98254039,53702545,1089762977,43852,0,301.49,15508593,63415867,19481301,59614731,612,1771560,2109178,17,0,43,1214902752,188718038,2115,3910,1661,3359,2444,3407,4158,4813,6165,28363
National,ssp585 (medium confidence),50,2080,0.577,10,0.0952,17460,15762,10258,7202,219685756,143947039,75738716,1132241769,45980,0,317.23,17196340,66782579,21265843,59614731,612,1883168,2225456,18,0,49,1260864535,260031106,2183,4404,1755,4065,2030,2444,2887,4895,8605,30172
National,ssp585 (medium confidence),50,2080,0.577,25,0.0392,18584,16831,10893,7691,331567816,219386289,112181527,1178348603,47535,0,337.54,19380419,70685014,23368225,59739731,613,2020582,2352002,19,0,49,1311125350,376337042,2246,3938,2003,4088,1682,3096,2287,3579,10366,32834
National,ssp585 (medium confidence),50,2080,0.577,50,0.0198,19316,17576,11297,8019,414639708,273544409,141095299,1210421572,48779,0,351.87,20882895,74107466,24664128,59989731,615,2112225,2451053,19,0,53,1346969822,462298956,2235,3767,2067,4011,1694,3545,2093,3051,11227,34405
National,ssp585 (medium confidence),50,2080,0.577,100,0.01,19946,18258,11636,8310,485002446,317420705,167581741,1240276008,49660,0,366.06,22276232,77610680,25881238,59989731,615,2192620,2550660,20,0,57,1380427079,535352536,2239,3793,2071,3616,1782,3761,1944,2835,11910,35655
National,ssp585 (medium confidence),50,2080,0.577,250,0.004,20742,18972,12042,8700,569603964,367054837,202549127,1273038002,51042,0,385.13,24068345,82060185,27256204,59989731,615,2297612,2663885,21,0,58,1417751802,623226125,2257,3582,2125,3868,1835,3784,1854,3137,12671,36671
National,ssp585 (medium confidence),50,2090,0.717,1,0.6321,8639,5077,5622,3017,1052858,671640,381218,596490506,30736,0,130.77,1393605,20189435,2389739,16544934,174,439514,1109118,10,0,26,634333993,5275716,7241,12020,1347,14535,51,4181,0,0,0,0
National,ssp585 (medium confidence),50,2090,0.717,5,0.1813,17393,16153,10219,7174,188365677,122751926,65613751,1126234362,45913,0,316.15,16534639,66737654,20433686,59614731,612,1851792,2225034,18,0,48,1254811781,227185794,2434,4790,1729,3914,2102,2688,3337,5017,7791,29504
National,ssp585 (medium confidence),50,2090,0.717,10,0.0952,18349,17040,10764,7585,266096538,175193301,90903237,1167097210,47098,0,332.64,18250839,69622399,22138069,59739731,613,1965597,2329676,19,0,49,1298789016,308451044,2496,4247,1920,4103,1763,2933,2619,4076,9551,31739
National,ssp585 (medium confidence),50,2090,0.717,25,0.0392,19440,18183,11367,8073,385962724,254946067,131016657,1213375043,49189,0,353.62,20454317,74924306,24156496,59989731,615,2104416,2477701,19,0,53,1350766781,432677954,2534,4383,2058,3998,1669,3647,2150,2928,11029,34233
National,ssp585 (medium confidence),50,2090,0.717,50,0.0198,20199,18872,11784,8415,470232538,308469426,161763113,1248691889,50206,0,370.54,22050838,79184239,25444701,59989731,615,2194996,2579389,20,0,57,1390445248,519923074,2529,4123,2094,3978,1793,3719,1949,2839,11834,35547
National,ssp585 (medium confidence),50,2090,0.717,100,0.01,20857,19518,12121,8736,539483371,350271118,189212254,1275567038,51309,0,386.9,23509096,83257097,26698319,59989731,615,2278853,2680003,20,0,58,1421493869,591969639,2504,4070,2171,4054,1846,3779,1828,3181,12508,36225
National,ssp585 (medium confidence),50,2090,0.717,250,0.004,21638,20278,12530,9108,619183775,394444926,224738849,1310166897,52235,0,405.71,25366272,88112052,28021887,60367856,617,2385295,2823420,21,0,58,1461470226,674957228,2576,3923,2127,3663,1950,3900,1751,3161,13234,37588
National,ssp585 (medium confidence),50,2100,0.866,1,0.6321,9403,5077,6037,3366,2386183,1550839,835344,673956469,32117,0,147.68,2262198,25594038,3116453,19161104,199,600558,1179996,10,0,29,719891607,8365393,6629,7994,2556,16678,218,7445,0,0,0,0
National,ssp585 (medium confidence),50,2100,0.866,5,0.1813,17874,16153,10484,7390,233562188,153151783,80410405,1146727658,46437,0,324.43,17655627,68213566,21405028,59739731,613,1938343,2284602,18,0,49,1276965556,274561187,2270,4091,1897,4188,1813,2689,2870,4446,9024,31023
National,ssp585 (medium confidence),50,2100,0.866,10,0.0952,18811,17040,11014,7797,320940880,211902086,109038794,1185558600,48066,0,341.77,19387215,71909060,23008944,59864731,614,2055926,2391680,19,0,50,1319724070,365392965,2326,4248,2062,3938,1645,3270,2395,3539,10383,33071
National,ssp585 (medium confidence),50,2100,0.866,25,0.0392,19969,18183,11659,8310,445335723,292709331,152626392,1235884059,49808,0,364.62,21676614,77873342,24974701,59989731,615,2191710,2543445,19,0,56,1376290577,494178748,2387,3772,2118,4039,1793,3766,1948,2922,11723,35309
National,ssp585 (medium confidence),50,2100,0.866,50,0.0198,20695,18872,12059,8636,528973294,344281592,184691702,1268408318,51140,0,382.56,23379936,82658192,26344262,59989731,615,2285389,2655337,20,0,58,1413711577,580982881,2322,3916,2195,3944,1932,3974,1729,3060,12517,36246
National,ssp585 (medium confidence),50,2100,0.866,100,0.01,21337,19518,12379,8958,594549856,381676573,212873283,1295150295,51883,0,398.31,24899545,86574681,27509977,60242856,616,2371611,2760535,21,0,58,1444728367,649330989,2388,3626,2138,3789,1996,3926,1727,3358,13088,37184
National,ssp585 (medium confidence),50,2100,0.866,250,0.004,22107,20278,12804,9303,668169599,419903281,248266318,1329809130,52985,0,416.94,26815731,91081142,28833611,60367856,617,2480966,2916980,21,0,58,1484175108,726299907,2400,3957,2137,3327,2037,3801,1764,3530,13769,38370
National,ssp585 (medium confidence),50,2110,0.98,1,0.6321,10014,6695,6369,3645,4055334,2643494,1411840,720225383,33039,0,162.15,3016425,30207265,3788095,23608268,230,722640,1244180,10,0,31,775285096,11582495,5272,5475,4322,17617,419,9925,1,22,0,0
National,ssp585 (medium confidence),50,2110,0.98,5,0.1813,18345,16572,10753,7592,271664272,178800769,92863503,1166232244,47183,0,332.66,18519601,69801138,22124727,59739731,613,2006544,2335980,19,0,49,1298109093,314315143,2266,4101,1976,3791,1697,3143,2632,3973,9774,32175
National,ssp585 (medium confidence),50,2110,0.98,10,0.0952,19302,17498,11280,8022,364910620,240931498,123979122,1204549446,49018,0,350.32,20270522,74014098,23659818,59989731,615,2124209,2461225,19,0,52,1341014500,410965169,2346,4020,2092,4155,1701,3646,2146,2761,11017,34436
National,ssp585 (medium confidence),50,2110,0.98,25,0.0392,20428,18609,11925,8503,490885296,321141050,169744246,1256332094,50743,0,375.04,22665628,81043411,25633165,59989731,615,2259034,2613773,20,0,57,1399979010,541443123,2323,3944,2171,3891,1917,4033,1756,2904,12261,35971
National,ssp585 (medium confidence),50,2110,0.98,50,0.0198,21166,19344,12303,8863,572562497,369878156,202684341,1286407837,51615,0,392.97,24439761,85897324,26982556,59989731,615,2355367,2739021,20,0,58,1435033913,626340181,2354,3631,2160,3689,2000,3988,1709,3555,12943,36752
National,ssp585 (medium confidence),50,2110,0.98,100,0.01,21782,19972,12635,9147,634583150,403545610,231037540,1316946339,52548,0,408.59,25997233,89420222,28142699,60367856,617,2443399,2856276,21,0,58,1469590693,691166481,2332,3786,2148,3486,2054,3868,1728,3392,13520,38016
National,ssp585 (medium confidence),50,2110,0.98,250,0.004,22490,20784,13015,9475,704344365,438089264,266255101,1345422034,53600,0,426.95,27964644,93341550,29464544,60547856,618,2556443,2996502,21,0,58,1502307942,764329996,2275,3339,2152,3707,2086,3805,1787,3584,14190,39165
National,ssp585 (medium confidence),50,2120,1.119,1,0.6321,11014,8765,6920,4094,7074108,4556770,2517339,809470128,34416,0,184.79,4051586,37335430,4702083,28422059,284,866037,1356788,11,0,32,876584405,16693814,4025,5331,6118,14176,855,12371,16,2538,0,0
National,ssp585 (medium confidence),50,2120,1.119,5,0.1813,19104,17454,11173,7931,323230819,213309613,109921207,1195406833,48658,0,346.72,19591889,73133491,22947048,59864731,614,2090898,2440232,19,0,50,1330845286,367860654,2431,4497,2096,3988,1655,3300,2347,3260,10575,33613
National,ssp585 (medium confidence),50,2120,1.119,10,0.0952,20075,18395,11734,8341,420507102,276738622,143768479,1237969502,50209,0,366.42,21395685,78713979,24443773,59989731,615,2205261,2561385,19,0,55,1379234597,468551821,2492,3990,2135,4322,1824,3993,1922,2619,11702,35285
National,ssp585 (medium confidence),50,2120,1.119,25,0.0392,21177,19505,12322,8855,545850319,354360643,191489677,1284287777,51469,0,392.12,23950450,86145092,26443716,59989731,615,2343901,2750590,20,0,58,1433173190,598588386,2468,3737,2195,3897,2032,3879,1660,3351,12822,36605
National,ssp585 (medium confidence),50,2120,1.119,50,0.0198,21851,20272,12706,9145,622454801,397563517,224891284,1316284807,52616,0,409.8,25795288,90585522,27743769,60367856,617,2442408,2875936,21,0,58,1470114120,678436265,2410,3567,2180,3797,2083,3944,1724,3384,13454,37924
National,ssp585 (medium confidence),50,2120,1.119,100,0.01,22433,20911,13005,9428,680209520,427145784,253063736,1340610982,53601,0,425.43,27392113,93449600,28899748,60547856,618,2534998,2990199,21,0,58,1497598637,739036378,2354,3664,2173,3607,2112,3901,1800,3677,13994,38752
National,ssp585 (medium confidence),50,2120,1.119,250,0.004,23119,21714,13365,9754,746602606,458555144,288047462,1370277760,54499,0,442.45,29394376,96758106,30213110,60682856,620,2656830,3148269,21,0,58,1530866990,808866921,2241,3205,2206,3500,2140,3787,1873,4052,14659,39955
National,ssp585 (medium confidence),50,2130,1.252,1,0.6321,11739,9476,7294,4445,10859418,6854922,4004495,861304510,35166,0,202.64,5130881,42282027,5751553,34079190,354,995074,1424744,12,0,32,939090471,22736926,3366,4668,6740,10971,1566,14220,67,5307,0,0
National,ssp585 (medium confidence),50,2130,1.252,5,0.1813,19762,17911,11553,8209,375649510,247794160,127855350,1222188153,49832,0,359.63,20650556,76630827,23698729,59989731,615,2169508,2520243,19,0,52,1361328954,422168304,2497,4182,2134,4301,1763,3954,2054,2508,11314,34887
National,ssp585 (medium confidence),50,2130,1.252,10,0.0952,20723,18847,12078,8645,474166243,310465163,163701080,1261717148,50943,0,380.85,22567606,83155078,25177560,59989731,615,2283714,2664991,20,0,57,1407526948,524195123,2514,4039,2210,3837,1937,4026,1744,3119,12318,35922
National,ssp585 (medium confidence),50,2130,1.252,25,0.0392,21690,20004,12616,9074,595999188,383119515,212879673,1306950823,52353,0,406.01,25249694,90048363,27198572,59989731,615,2426954,2856047,20,0,58,1459844964,650874408,2400,3452,2210,3784,2080,4141,1706,3601,13294,37375
National,ssp585 (medium confidence),50,2130,1.252,50,0.0198,22415,20736,13001,9414,667084792,420987874,246096918,1339665995,53573,0,423.25,27145371,93720665,28478909,60492856,618,2531440,2998032,21,0,58,1496877548,725240512,2352,3623,2223,3591,2121,3971,1834,3838,13885,38550
National,ssp585 (medium confidence),50,2130,1.252,100,0.01,22965,21363,13286,9679,721805030,447714862,274090167,1361258881,54202,0,438.16,28772179,96261533,29633524,60682856,620,2630386,3120579,21,0,58,1521323848,782841119,2251,3114,2230,3668,2147,3725,1898,4004,14439,39691
National,ssp585 (medium confidence),50,2130,1.252,250,0.004,23581,22137,13600,9981,785716762,477086883,308629878,1391078390,55274,0,455.76,30789083,99410218,30960897,60932856,622,2760671,3259022,21,0,59,1554680486,850227413,2080,3160,2308,3686,2124,3691,1940,3654,15129,41083
National,ssp585 (medium confidence),50,2140,1.378,1,0.6321,12241,10075,7568,4673,15306908,9500177,5806731,893076429,36070,0,215.29,6211177,45466216,6900520,37248166,390,1107873,1483046,13,0,33,977273857,29526478,2921,4192,6383,7300,2695,16957,242,7621,0,0
National,ssp585 (medium confidence),50,2140,1.378,5,0.1813,20301,18387,11854,8447,426500175,280527198,145972977,1242918903,50338,0,371.21,21702145,80317971,24408620,59989731,615,2242536,2611043,19,0,54,1385837648,474853476,2477,3947,2178,3901,1905,4194,1811,2827,11930,35469
National,ssp585 (medium confidence),50,2140,1.378,10,0.0952,21174,19337,12330,8844,524929602,341575699,183353903,1282740862,51733,0,392.61,23749867,86447733,25903126,59989731,615,2360753,2757415,20,0,58,1431935741,576943349,2419,3686,2213,4106,2078,3980,1659,3303,12805,36658
National,ssp585 (medium confidence),50,2140,1.378,25,0.0392,22179,20464,12878,9301,640614368,407448828,233165541,1329181122,53117,0,416.83,26529140,92753832,27895263,60492856,618,2509826,2949870,21,0,58,1485377680,697548596,2268,3372,2278,3625,2120,3984,1801,3879,13712,38257
National,ssp585 (medium confidence),50,2140,1.378,50,0.0198,22829,21193,13221,9608,707246826,441168334,266078492,1355575813,54103,0,434.25,28454027,95869004,29181615,60672856,619,2621925,3096305,21,0,58,1515213978,767504393,2178,3006,2229,3786,2204,3940,1933,3944,14285,39427
National,ssp585 (medium confidence),50,2140,1.378,100,0.01,23352,21823,13492,9860,759957589,466032856,293924733,1378753177,54944,0,449.1,30089447,98317454,30313185,60807856,621,2727192,3214013,21,0,58,1541092500,823087413,2066,3151,2284,3505,2126,3742,2010,3897,14866,40649
National,ssp585 (medium confidence),50,2140,1.378,250,0.004,23956,22513,13806,10150,821898159,494026257,327871902,1406949760,56007,0,465.83,32134579,101351753,31699085,61182856,624,2863299,3359828,22,0,59,1572844197,888595121,1903,3044,2298,3874,2134,3263,2041,3881,15580,41945
National,ssp585 (medium confidence),50,2150,1.499,1,0.6321,12640,10690,7771,4869,20473759,12521111,7952648,912450072,36500,0,225.75,7273710,48128869,8035563,40693648,430,1204850,1539916,13,0,34,1002812505,36987881,2552,3419,4997,5272,4633,17311,457,10473,1,25
National,ssp585 (medium confidence),50,2150,1.499,5,0.1813,20784,18848,12129,8655,475553229,311395962,164157267,1262975516,51014,0,382.23,22789712,83561440,25072032,59989731,615,2315221,2684165,20,0,57,1409210852,525730194,2387,3657,2236,4099,1983,3865,1692,3197,12486,36196
National,ssp585 (medium confidence),50,2150,1.499,10,0.0952,21587,19804,12563,9024,573007994,370086375,202921620,1299838802,52251,0,403.04,24939741,89409136,26579442,59989731,615,2438171,2845875,20,0,58,1452083543,626965349,2232,3194,2312,3875,2110,4217,1713,3655,13220,37310
National,ssp585 (medium confidence),50,2150,1.499,25,0.0392,22570,20950,13080,9490,680881206,428334044,252547163,1344553031,53885,0,427.14,27783774,94797474,28564670,60492856,618,2596048,3045836,21,0,58,1502889197,739825698,2088,3133,2284,3750,2178,3890,1942,4087,14078,39025
National,ssp585 (medium confidence),50,2150,1.499,50,0.0198,23202,21627,13414,9788,744395983,459181444,285214539,1371699151,54711,0,445.12,29727140,97992238,29835491,60807856,621,2714016,3187072,21,0,58,1533686316,806672630,1988,2967,2329,3729,2159,3630,2010,3992,14716,40393
National,ssp585 (medium confidence),50,2150,1.499,100,0.01,23717,22235,13668,10049,795525298,482821299,312703999,1396482552,55491,0,458.9,31375431,100451228,30990017,61057856,623,2825091,3312447,21,0,59,1561304084,860715837,1886,2855,2302,3752,2170,3451,2025,3909,15334,41524
National,ssp585 (medium confidence),50,2150,1.499,250,0.004,24383,22919,14024,10359,855713070,509716492,345996578,1422973518,56602,0,475.66,33442720,103104381,32372269,61182856,624,2964870,3459921,23,0,59,1590720675,924492929,1853,2990,2236,3267,2149,3590,2090,3721,16055,43034
