Region,Return_Period,Exposed_Buildings,Exposed_Population,Exposed_Road_km,Exposed_Evacuation_Centres,Exposed_Health_Facilties,Exposed_Schools,Exposed_Building_Value,Exposed_Road_Value,Total_Exposed_Value,Building_Loss,Road_Loss,Total_Loss,Depth.range_<_0.5.Exposed_Buildings,Depth.range_<_0.5.Exposed_Population,Depth.range_<_0.5.Exposed_Road_km,Depth.range_<_0.5.Exposed_Evacuation_Centres,Depth.range_<_0.5.Exposed_Health_Facilties,Depth.range_<_0.5.Exposed_Schools,Depth.range_<_0.5.Exposed_Building_Value,Depth.range_<_0.5.Exposed_Road_Value,Depth.range_<_0.5.Total_Exposed_Value,Depth.range_<_0.5.Building_Loss,Depth.range_<_0.5.Road_Loss,Depth.range_<_0.5.Total_Loss,Depth.range_0.5_1.0.Exposed_Buildings,Depth.range_0.5_1.0.Exposed_Population,Depth.range_0.5_1.0.Exposed_Road_km,Depth.range_0.5_1.0.Exposed_Evacuation_Centres,Depth.range_0.5_1.0.Exposed_Health_Facilties,Depth.range_0.5_1.0.Exposed_Schools,Depth.range_0.5_1.0.Exposed_Building_Value,Depth.range_0.5_1.0.Exposed_Road_Value,Depth.range_0.5_1.0.Total_Exposed_Value,Depth.range_0.5_1.0.Building_Loss,Depth.range_0.5_1.0.Road_Loss,Depth.range_0.5_1.0.Total_Loss,Depth.range_1.0_1.5.Exposed_Buildings,Depth.range_1.0_1.5.Exposed_Population,Depth.range_1.0_1.5.Exposed_Road_km,Depth.range_1.0_1.5.Exposed_Evacuation_Centres,Depth.range_1.0_1.5.Exposed_Health_Facilties,Depth.range_1.0_1.5.Exposed_Schools,Depth.range_1.0_1.5.Exposed_Building_Value,Depth.range_1.0_1.5.Exposed_Road_Value,Depth.range_1.0_1.5.Total_Exposed_Value,Depth.range_1.0_1.5.Building_Loss,Depth.range_1.0_1.5.Road_Loss,Depth.range_1.0_1.5.Total_Loss,Depth.range_1.5_2.0.Exposed_Buildings,Depth.range_1.5_2.0.Exposed_Population,Depth.range_1.5_2.0.Exposed_Road_km,Depth.range_1.5_2.0.Exposed_Evacuation_Centres,Depth.range_1.5_2.0.Exposed_Health_Facilties,Depth.range_1.5_2.0.Exposed_Schools,Depth.range_1.5_2.0.Exposed_Building_Value,Depth.range_1.5_2.0.Exposed_Road_Value,Depth.range_1.5_2.0.Total_Exposed_Value,Depth.range_1.5_2.0.Building_Loss,Depth.range_1.5_2.0.Road_Loss,Depth.range_1.5_2.0.Total_Loss,Depth.range_2.0_+.Exposed_Buildings,Depth.range_2.0_+.Exposed_Population,Depth.range_2.0_+.Exposed_Road_km,Depth.range_2.0_+.Exposed_Evacuation_Centres,Depth.range_2.0_+.Exposed_Health_Facilties,Depth.range_2.0_+.Exposed_Schools,Depth.range_2.0_+.Exposed_Building_Value,Depth.range_2.0_+.Exposed_Road_Value,Depth.range_2.0_+.Total_Exposed_Value,Depth.range_2.0_+.Building_Loss,Depth.range_2.0_+.Road_Loss,Depth.range_2.0_+.Total_Loss
Sanma,2,1549,3645,160.1,0,1,2,197533067,45688632,243221699,0,0,0,1294,2678,133.5,0,1,1,177405242,38849006,216254248,0,0,0,155,558,16.4,0,0,0,11106859,4128904,15235763,0,0,0,79,248,5.6,0,0,1,6843084,1341316,8184400,0,0,0,17,142,2.5,0,0,0,1845037,754886,2599923,0,0,0,4,19,2.0,0,0,0,332845,614521,947365,0,0,0
Sanma,5,1844,4397,179.3,0,1,2,235697060,52138099,287835158,0,0,0,1524,3147,146.9,0,1,1,211865599,44121908,255987506,0,0,0,179,612,19.1,0,0,0,11496399,4533995,16030395,0,0,0,91,360,7.9,0,0,1,8111076,1559398,9670473,0,0,0,29,195,2.5,0,0,0,2880056,1066909,3946965,0,0,0,21,83,2.8,0,0,0,1343930,855889,2199819,0,0,0
Sanma,10,2092,5185,196.0,0,1,3,260573714,56136162,316709876,0,0,0,1631,3510,158.7,0,1,2,223543804,46758258,270302062,0,0,0,248,762,22.0,0,0,0,19551737,5244973,24796709,0,0,0,117,438,8.6,0,0,1,9938645,2070448,12009093,0,0,0,49,235,3.0,0,0,0,3800205,1004969,4805173,0,0,0,47,240,3.6,0,0,0,3739323,1057515,4796838,0,0,0
Sanma,50,2844,7556,232.9,0,1,4,342208927,65413769,407622696,0,0,0,1834,4514,177.4,0,1,1,237349430,50470360,287819790,0,0,0,483,1181,31.2,0,0,1,55733058,9014962,64748020,0,0,0,180,574,11.5,0,0,1,20002003,2503408,22505411,0,0,0,117,317,6.5,0,0,0,8580053,1822004,10402058,0,0,0,230,970,6.2,0,0,1,20544382,1603036,22147418,0,0,0
Sanma,100,3172,8409,247.1,0,1,6,373489951,69221777,442711728,0,0,0,1945,4652,182.3,0,0,3,240607889,52199351,292807241,0,0,0,523,1495,36.2,0,1,0,62597419,10184973,72782393,0,0,0,253,702,13.0,0,0,2,30260669,2818976,33079645,0,0,0,150,439,7.6,0,0,0,14354561,2052542,16407103,0,0,0,301,1122,7.9,0,0,1,25669413,1965935,27635347,0,0,0
Sanma,200,3454,9297,262.6,0,1,6,408415065,73770666,482185732,0,0,0,2015,5005,189.7,0,0,2,249620698,54638563,304259261,0,0,0,548,1525,38.7,0,1,1,66945970,10382706,77328676,0,0,0,342,903,15.0,0,0,2,42647029,3825416,46472445,0,0,0,179,561,9.1,0,0,0,17046571,2167412,19213983,0,0,0,370,1303,10.1,0,0,1,32154796,2756570,34911366,0,0,0
Shefa,2,5497,15842,166.8,0,0,7,953397662,20130296,973527958,0,0,0,4237,12202,129.6,0,0,4,724954340,14937498,739891838,0,0,0,789,2444,24.6,0,0,2,151645658,3021624,154667282,0,0,0,230,729,6.4,0,0,0,41085608,1160162,42245770,0,0,0,104,299,1.9,0,0,1,12927462,298622,13226084,0,0,0,137,167,4.3,0,0,0,22784595,712390,23496985,0,0,0
Shefa,5,5497,15842,166.8,0,0,7,953397662,20130296,973527958,0,0,0,4237,12202,129.6,0,0,4,724954340,14937498,739891838,0,0,0,789,2444,24.6,0,0,2,151645658,3021624,154667282,0,0,0,230,729,6.4,0,0,0,41085608,1160162,42245770,0,0,0,104,299,1.9,0,0,1,12927462,298622,13226084,0,0,0,137,167,4.3,0,0,0,22784595,712390,23496985,0,0,0
Shefa,10,5497,15842,166.8,0,0,7,953397662,20130296,973527958,0,0,0,4237,12202,129.6,0,0,4,724954340,14937498,739891838,0,0,0,789,2444,24.6,0,0,2,151645658,3021624,154667282,0,0,0,230,729,6.4,0,0,0,41085608,1160162,42245770,0,0,0,104,299,1.9,0,0,1,12927462,298622,13226084,0,0,0,137,167,4.3,0,0,0,22784595,712390,23496985,0,0,0
Shefa,50,6181,18554,180.5,0,0,7,1039706688,22116926,1061823614,0,0,0,4498,13278,133.3,0,0,4,743543898,15663463,759207361,0,0,0,971,3143,29.0,0,0,1,166019421,3105797,169125218,0,0,0,337,1169,9.3,0,0,1,73928224,1937903,75866127,0,0,0,161,550,2.7,0,0,1,23408614,408525,23817139,0,0,0,214,414,6.1,0,0,0,32806533,1001237,33807769,0,0,0
Shefa,100,6457,19796,186.2,0,0,7,1072536583,22802986,1095339569,0,0,0,4562,13546,134.0,0,0,4,738081870,15429989,753511860,0,0,0,1069,3663,31.8,0,0,1,184610032,3748627,188358659,0,0,0,404,1387,10.2,0,0,1,85350476,1856273,87206749,0,0,0,181,666,3.4,0,0,1,27631389,664591,28295979,0,0,0,241,534,6.7,0,0,0,36862817,1103505,37966322,0,0,0
Shefa,200,6457,19796,186.2,0,0,7,1072536583,22802986,1095339569,0,0,0,4562,13546,134.0,0,0,4,738081870,15429989,753511860,0,0,0,1069,3663,31.8,0,0,1,184610032,3748627,188358659,0,0,0,404,1387,10.2,0,0,1,85350476,1856273,87206749,0,0,0,181,666,3.4,0,0,1,27631389,664591,28295979,0,0,0,241,534,6.7,0,0,0,36862817,1103505,37966322,0,0,0
